Req Number,Provider,NPI#,Contact,Email,Submitted On,Submitted By,Status,Position,Zone,Region,Division,Location,Skills,Address 1,Address 2,City,State,Postal Code,Country,Tags
REQ-ADVE-00038,"Walker, Allan",3454768878,4458809090,Test+wewer@goringo.com,09/27/2022,MadMax Associates,Withdrawn,Senior Contracts Rep - CA,one,Northeast,Kansas Div,Stark Medical Centre,Excellent Follow-up Skills,t,,Abanda,Alabama,56566,United States,"Test,nurse"
REQ-ADVE-00037,"crak, jack",5353723737,6593760372,jack@gmail.com,09/12/2022,MadMax Associates,Assignment Completed,Administration Clerk,one,Northeast,Kansas Div,Stark Medical Centre,Data Entry,zoo,vvk,New Kingman-Butler,Arizona,46853,United States,
REQ-ADVE-00036,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,09/09/2022,MadMax Associates,Assignment Completed,ABCO - JT,,South,Kentucky Div,Wilkenson Hospital,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00036,"Raph, Remy",1234332534,9876435678,test+dmormon@goringo.com,09/09/2022,MadMax Associates,Assignment Completed,ABCO - JT,,South,Kentucky Div,Wilkenson Hospital,"1-3 Years Experience,.NET Framework",test,,Agoura Hills,California,08778,United States,
REQ-ADVE-00035,"Raph, Remy",1234332534,9876435678,test+dmormon@goringo.com,09/08/2022,MadMax Associates,Withdrawn,ABCO - JT,,South,Kentucky Div,Wilkenson Hospital,"1-3 Years Experience,.NET Framework",test,,Agoura Hills,California,08778,United States,
REQ-ADVE-00034,"Raph, Remy",1234332534,9876435678,test+dmormon@goringo.com,09/07/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",test,,Agoura Hills,California,08778,United States,
REQ-ADVE-00033,"crak, jack",5353723737,6593760372,jack@gmail.com,09/12/2022,MadMax Associates,Assignment Completed,Administration Clerk,,South,Kentucky Div,Wilkenson Hospital,Data Entry,zoo,vvk,New Kingman-Butler,Arizona,46853,United States,
REQ-ADVE-00032,"taiw, Atat",6453333333,2222222222,sgqgs@gmail.com,09/28/2022,MadMax Associates,Withdrawn,ABCO - JT,,South,Kentucky Div,Wilkenson Hospital,"1-3 Years Experience,.NET Framework",Addresss1,Addressd2,Adamsville,Alabama,22222,United States,
REQ-ADVE-00032,"Raph, Remy",1234332534,9876435678,test+dmormon@goringo.com,09/06/2022,MadMax Associates,Assignment Completed,ABCO - JT,,South,Kentucky Div,Wilkenson Hospital,"1-3 Years Experience,.NET Framework",test,,Agoura Hills,California,08778,United States,
REQ-ADVE-00030,"Tiwari, Atul",6282272827,6464646464,Test+atlt@goringo.com,08/30/2022,Lily Staffing,Assignment Completed,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",a,b,Adamsville,Alabama,864746888,United States,
REQ-ADVE-00028,"Tiwari, Atul",6282272827,6464646464,Test+atlt@goringo.com,09/06/2022,Lily Staffing,Assignment Completed,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",a,b,Adamsville,Alabama,864746888,United States,
REQ-ADVE-00028,"Tiwari, Atul",6282272827,6464646464,Test+atlt@goringo.com,08/29/2022,Lily Staffing,Withdrawn,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",a,b,Adamsville,Alabama,864746888,United States,
REQ-ADVE-00028,"Tiwari, Atul",6282272827,6464646464,Test+atlt@goringo.com,09/06/2022,Lily Staffing,Vendor Presentation Rejected,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",a,b,Adamsville,Alabama,864746888,United States,
REQ-ADVE-00027,"Tiwari, Atul",6282272827,6464646464,Test+atlt@goringo.com,09/07/2022,Lily Staffing,Assignment Completed,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",a,b,Adamsville,Alabama,864746888,United States,
REQ-ADVE-00026,"Nash, Ellie",8765434565,6554346778,Test+test+ellieP@goringo.com,08/29/2022,Lily Staffing,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",t,,Agua Dulce,California,87645,United States,
REQ-ADVE-00025,"Tiwari, Atul",6282272827,6464646464,Test+atlt@goringo.com,08/25/2022,Lily Staffing,Assignment Completed,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",a,b,Adamsville,Alabama,864746888,United States,
REQ-ADVE-00024,"Raph, Remy",1234332534,9876435678,test+dmormon@goringo.com,08/18/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",test,,Agoura Hills,California,08778,United States,
REQ-ADVE-00021,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,08/03/2022,MadMax Associates,Rejected,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00021,"Tiwari, Atul",6282272827,6464646464,Test+atlt@goringo.com,08/03/2022,Lily Staffing,Assignment Completed,Administrative Assistant,one,Northeast,Kansas Div,Stark Medical Centre,"Clerical,MS Outlook,WordPerfect,Computer Experience",a,b,Adamsville,Alabama,864746888,United States,
REQ-ADVE-00019,"Potts, Pepper",3412321245,5645768798,Test+fghjkl@goringo.com,08/01/2022,MadMax Associates,Assignment Completed,Web Content Designer - CA,,South,Kentucky Div,Wilkenson Hospital,Computer Experience,h,,Abanda,Alabama,87656,United States,
REQ-ADVE-00017,"Nelson, Foggy",3242433133,0987665345,Test+foggy@goringo.com,07/31/2022,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,,Abanda,Alabama,87646,United States,
REQ-ADVE-00014,"Raph, Remy",1234332534,9876435678,test+dmormon@goringo.com,05/17/2022,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",test,,Agoura Hills,California,08778,United States,
REQ-ADVE-00014,"Castle, Frank",5687987459,4561232465,Test+frank@goringo.com,05/24/2022,MadMax Associates,Withdrawn,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,y,Abanda,Alabama,12324,United States,
REQ-ADVE-00014,"Knowles, John",1324678898,1265656565,Test+john@goringo.com,05/17/2022,MadMax Associates,Withdrawn,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",k,k,Abanda,Alabama,35652,United States,
REQ-ADVE-00012,"Urich, Ben",5656456789,4567898765,Test+ben@goringo.com,05/14/2022,MadMax Associates,Offer Rejected,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,Address 1,Address 2,Addison,Illinois,76445,United States,
REQ-ADVE-00012,"Test, Lock",2342346521,4564687456,Test+test@goringo.com,05/10/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",t,t,Akiachak,Alaska,23452,United States,
REQ-ADVE-00012,"Kurian, Joby",2312345678,5676135965,Test+gfkujk@goringo.com,05/04/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",h,h,Abbeville,Alabama,55468,United States,
REQ-ADVE-00012,"Romanov, Natasha",8766678989,0654657678,Test+natasha@goringo.com,01/31/2022,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,15601 MOORESVILLE RD,,Athens,Alabama,356137308,United States,rate_card_test_div
REQ-ADVE-00011,"Castle, Frank",5687987459,4561232465,Test+frank@goringo.com,01/03/2022,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,y,Abanda,Alabama,12324,United States,
REQ-ADVE-00011,"Mathew, Josh",2343454643,5456465679,Test+tetqwew@goringo.com,05/04/2022,MadMax Associates,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",j,j,Abanda,Alabama,23656,United States,
REQ-ADVE-00010,"Urich, Ben",5656456789,4567898765,Test+ben@goringo.com,12/30/2021,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,Address 1,Address 2,Addison,Illinois,76445,United States,
REQ-ADVE-00009,"Potts, Pepper",3412321245,5645768798,Test+fghjkl@goringo.com,04/29/2022,MadMax Associates,Withdrawn,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,h,,Abanda,Alabama,87656,United States,
REQ-ADVE-00009,"Nyongo, Lupita",,5686568964,Test+lupita@goringo.com,04/29/2022,Core Staffing,Assignment Completed,ABCO - JT,one,Northeast,Kansas Div,Stark Medical Centre,"1-3 Years Experience,.NET Framework",h,h,Abanda,Alabama,12457,United States,
REQ-ADVE-00009,"Nelson, Foggy",3242433133,0987665345,Test+foggy@goringo.com,12/30/2021,MadMax Associates,Withdrawn,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,,Abanda,Alabama,87646,United States,
REQ-ADVE-00008,"Nelson, Foggy",3242433133,0987665345,Test+foggy@goringo.com,01/03/2022,MadMax Associates,Name Not Cleared,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,,Abanda,Alabama,87646,United States,
REQ-ADVE-00008,"Nelson, Foggy",3242433133,0987665345,Test+foggy@goringo.com,01/03/2022,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,,Abanda,Alabama,87646,United States,
REQ-ADVE-00008,"Walker, Allan",3454768878,4458809090,Test+wewer@goringo.com,01/03/2022,MadMax Associates,Risk Rejected,Senior Contracts Rep - CA,one,Northeast,Kansas Div,Stark Medical Centre,Excellent Follow-up Skills,t,,Abanda,Alabama,56566,United States,"Test,nurse"
REQ-ADVE-00008,"Nelson, Foggy",3242433133,0987665345,Test+foggy@goringo.com,01/03/2022,MadMax Associates,Name Not Cleared,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,y,,Abanda,Alabama,87646,United States,
REQ-ADVE-00008,"Walker, Allan",3454768878,4458809090,Test+wewer@goringo.com,12/30/2021,MadMax Associates,Rejected,Senior Contracts Rep - CA,one,Northeast,Kansas Div,Stark Medical Centre,Excellent Follow-up Skills,t,,Abanda,Alabama,56566,United States,"Test,nurse"
REQ-ADVE-00007,"Walker, Allan",3454768878,4458809090,Test+wewer@goringo.com,10/27/2021,MadMax Associates,Withdrawn,Senior Contracts Rep - CA,one,Northeast,Kansas Div,Stark Medical Centre,Excellent Follow-up Skills,t,,Abanda,Alabama,56566,United States,"Test,nurse"
REQ-ADVE-00002,"Walker, Allan",3454768878,4458809090,Test+wewer@goringo.com,06/28/2021,MadMax Associates,Assignment Completed,Senior Contracts Rep - CA,one,Northeast,Kansas Div,Stark Medical Centre,Excellent Follow-up Skills,t,,Abanda,Alabama,56566,United States,"Test,nurse"
REQ-ADVE-00002,"Potts, Pepper",3412321245,5645768798,Test+fghjkl@goringo.com,06/26/2021,MadMax Associates,Assignment Completed,Web Content Designer - CA,one,Northeast,Kansas Div,Stark Medical Centre,Computer Experience,h,,Abanda,Alabama,87656,United States,
